,10A Pocillopora damicornis,11A Pocillopora damicornis,12A Pocillopora damicornis,13 Acropora sp,14 Acropora sp,18 Porites sp,23 Acropora sp,24A Acropora sp,26 Acropora sp,28 Acropora sp,29 Acropora sp,2A Pocillopora damicornis,30A Montipora sp,31A Porites sp,32A Porites sp,33A Montipora sp,34A Montipora sp,35A Montipora sp,36A Montipora sp,3A Pocillopora damicornis,42A Porites sp,43A Pocillopora damicornis,46A Porites sp,47A Porites sp,47B Porites sp,48A Acropora sp,49A Acropora sp,4A Pocillopora damicornis,50A Acropora sp,6A Pocillopora damicornis,7A Porites sp,8A Montipora sp,9AMontipora sp
Zotu4777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1087.301587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3116,0,0,0,0,0,0,21.73913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu363,0,0,0,0,0,0,0,0,0,0,43.8247012,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu829,45.11278195,0,35.71428571,38.647343,0,0,0,8.547008547,39.5256917,0,43.8247012,0,20,0,0,0,9.174311927,0,0,0,0,81.08108108,0,0,0,0,0,0,0,14.63414634,0,0,0
Zotu1487,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu130,41.35338346,0,0,0,0,9.900990099,0,0,0,3931.623932,0,0,0,0,0,0,192.6605505,0,0,0,0,0,0,0,0,131.8181818,0,0,0,0,0,0,0
Zotu416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.2941176,0,0,0,0,0,0,0,0,0,18.18181818,0,0,0,0,0,0,0
Zotu1521,0,0,0,0,0,0,21.73913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41025641,0,0,0,0,0,0
Zotu6665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.02702703,0,0,0,0,0,0,0,0,0,0,0
Zotu371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu674,33.83458647,0,0,28.98550725,0,9.900990099,0,8.547008547,43.47826087,8.547008547,23.90438247,0,16,0,0,0,27.52293578,0,0,0,0,81.08108108,0,0,0,0,0,0,0,4.87804878,0,0,0
Zotu158,451.1278195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu5605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.8983957,0,0,0,0,17.24137931,0,0,0,0,0,0,6.41025641,0,0,0,0,0,0
Zotu1095,30.07518797,0,0,19.3236715,0,0,0,8.547008547,11.85770751,0,15.93625498,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.36363636,0,0,0,0
