	Kingdom	Phylum	Class	Order	Family	Genus	Species	Isolate	Isolate_percent_id
Zotu9107	Bacteria	Planctomycetota	Planctomycetota Bd7-11						0
Zotu9108	Bacteria	Proteobacteria	Alphaproteobacteria						0
Zotu9109	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae				0
Zotu9110	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus			0
Zotu9112	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales Sm2d12				0
Zotu9113	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae				0
Zotu9114	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales					0
Zotu9116	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu9117	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia			0
Zotu9118	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae				0
Zotu9119	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Thermoanaerobaculaceae Subgroup0			0
Zotu912	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae				0
Zotu9120	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Wenyingzhuangia			0
Zotu9121	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula			0
Zotu9122	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagales 37-13				0
Zotu9123	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae				0
Zotu9124	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrionaceae Om27_clade			0
